id,from_user,to_user,day
0,6edf0be4b2267df1fa,75d295377a46f83236,10
1,6edf0be4b2267df1fa,32ded68d89443e808,6
2,6edf0be4b2267df1fa,55e60cfcc9dc49c17e,10
3,6edf0be4b2267df1fa,e0e0defbb9ec47f6f7,6
4,6edf0be4b2267df1fa,47be2887786891367e,1
5,6edf0be4b2267df1fa,2813e59cf6c1ff698e,6
6,6edf0be4b2267df1fa,a84065b7933ad01019,8
7,6edf0be4b2267df1fa,850badf89ed8f06854,1
8,6edf0be4b2267df1fa,6b503743a13d778200,1
9,6edf0be4b2267df1fa,d63386c884aeb9f71d,3
10,6edf0be4b2267df1fa,5b8754928306a18b68,2
11,6edf0be4b2267df1fa,6edf0be4b2267df1fa,8
12,6edf0be4b2267df1fa,406539987dd9b679c0,9
13,6edf0be4b2267df1fa,114bafadff2d882864,5
14,6edf0be4b2267df1fa,157e3e9278e32aba3e,2
15,75d295377a46f83236,75d295377a46f83236,6
16,75d295377a46f83236,d63386c884aeb9f71d,8
17,75d295377a46f83236,55e60cfcc9dc49c17e,3
18,75d295377a46f83236,47be2887786891367e,10
19,75d295377a46f83236,5b8754928306a18b68,10
20,75d295377a46f83236,850badf89ed8f06854,7
21,75d295377a46f83236,5eff3a5bfc0687351e,2
22,75d295377a46f83236,5dc768b2f067c56f77,8
23,75d295377a46f83236,114bafadff2d882864,3
24,75d295377a46f83236,e0e0defbb9ec47f6f7,3
25,75d295377a46f83236,7cfe354d9a64bf8173,10
26,5dc768b2f067c56f77,114bafadff2d882864,3
27,5dc768b2f067c56f77,2813e59cf6c1ff698e,5
28,5dc768b2f067c56f77,91f59516cb9dee1e88,6
29,5dc768b2f067c56f77,5b8754928306a18b68,6
30,5dc768b2f067c56f77,6b503743a13d778200,5
31,5dc768b2f067c56f77,aa0bd72b729fab6e9e,10
32,5dc768b2f067c56f77,850badf89ed8f06854,1
33,5dc768b2f067c56f77,406539987dd9b679c0,7
34,5dc768b2f067c56f77,75d295377a46f83236,2
35,5dc768b2f067c56f77,d63386c884aeb9f71d,8
36,5dc768b2f067c56f77,ef5fe98c6b9f313075,9
37,32ded68d89443e808,55e60cfcc9dc49c17e,10
38,32ded68d89443e808,e0e0defbb9ec47f6f7,6
39,32ded68d89443e808,850badf89ed8f06854,4
40,32ded68d89443e808,5eff3a5bfc0687351e,8
41,32ded68d89443e808,8bba390b53976da0cd,6
42,32ded68d89443e808,91f59516cb9dee1e88,1
43,32ded68d89443e808,6edf0be4b2267df1fa,7
44,32ded68d89443e808,d63386c884aeb9f71d,3
45,32ded68d89443e808,32ded68d89443e808,7
46,32ded68d89443e808,5dc768b2f067c56f77,9
47,32ded68d89443e808,406539987dd9b679c0,3
48,32ded68d89443e808,a84065b7933ad01019,10
49,32ded68d89443e808,2813e59cf6c1ff698e,9
50,32ded68d89443e808,cbc4bd40cd1687754,10
51,32ded68d89443e808,aa0bd72b729fab6e9e,4
52,32ded68d89443e808,75d295377a46f83236,5
53,32ded68d89443e808,6b503743a13d778200,3
54,32ded68d89443e808,5b8754928306a18b68,4
55,32ded68d89443e808,47be2887786891367e,5
56,e0e0defbb9ec47f6f7,5dc768b2f067c56f77,6
57,e0e0defbb9ec47f6f7,2813e59cf6c1ff698e,4
58,e0e0defbb9ec47f6f7,6b503743a13d778200,8
59,e0e0defbb9ec47f6f7,e22d2eabc2d4c19688,3
60,e0e0defbb9ec47f6f7,e6088004caf0c8cc51,2
61,e0e0defbb9ec47f6f7,aa0bd72b729fab6e9e,6
62,e0e0defbb9ec47f6f7,55e60cfcc9dc49c17e,5
63,e0e0defbb9ec47f6f7,850badf89ed8f06854,6
64,e0e0defbb9ec47f6f7,d63386c884aeb9f71d,3
65,e0e0defbb9ec47f6f7,a84065b7933ad01019,10
66,e0e0defbb9ec47f6f7,32ded68d89443e808,6
67,e0e0defbb9ec47f6f7,47be2887786891367e,8
68,e0e0defbb9ec47f6f7,157e3e9278e32aba3e,7
69,e0e0defbb9ec47f6f7,cbc4bd40cd1687754,2
70,e0e0defbb9ec47f6f7,e0e0defbb9ec47f6f7,3
71,6b503743a13d778200,850badf89ed8f06854,5
72,6b503743a13d778200,55e60cfcc9dc49c17e,10
73,6b503743a13d778200,cbc4bd40cd1687754,2
74,6b503743a13d778200,e0e0defbb9ec47f6f7,5
75,6b503743a13d778200,7cfe354d9a64bf8173,5
76,6b503743a13d778200,32ded68d89443e808,4
77,6b503743a13d778200,e6088004caf0c8cc51,9
78,6b503743a13d778200,aa0bd72b729fab6e9e,7
79,6b503743a13d778200,5dc768b2f067c56f77,9
80,e22d2eabc2d4c19688,8bba390b53976da0cd,5
81,e22d2eabc2d4c19688,e0e0defbb9ec47f6f7,2
82,e22d2eabc2d4c19688,ef5fe98c6b9f313075,10
83,e22d2eabc2d4c19688,5eff3a5bfc0687351e,2
84,e22d2eabc2d4c19688,47be2887786891367e,4
85,e22d2eabc2d4c19688,406539987dd9b679c0,8
86,e22d2eabc2d4c19688,cbc4bd40cd1687754,8
87,e22d2eabc2d4c19688,7cfe354d9a64bf8173,10
88,e22d2eabc2d4c19688,e6088004caf0c8cc51,5
89,e22d2eabc2d4c19688,aa0bd72b729fab6e9e,9
90,e22d2eabc2d4c19688,6edf0be4b2267df1fa,8
91,e22d2eabc2d4c19688,157e3e9278e32aba3e,3
92,e22d2eabc2d4c19688,d63386c884aeb9f71d,2
93,d63386c884aeb9f71d,cbc4bd40cd1687754,6
94,d63386c884aeb9f71d,8bba390b53976da0cd,10
95,d63386c884aeb9f71d,75d295377a46f83236,10
96,d63386c884aeb9f71d,5b8754928306a18b68,4
97,d63386c884aeb9f71d,e6088004caf0c8cc51,7
98,d63386c884aeb9f71d,e22d2eabc2d4c19688,9
99,d63386c884aeb9f71d,55e60cfcc9dc49c17e,3
100,d63386c884aeb9f71d,5dc768b2f067c56f77,3
101,d63386c884aeb9f71d,32ded68d89443e808,8
102,d63386c884aeb9f71d,157e3e9278e32aba3e,8
103,cbc4bd40cd1687754,7cfe354d9a64bf8173,10
104,cbc4bd40cd1687754,114bafadff2d882864,2
105,cbc4bd40cd1687754,157e3e9278e32aba3e,4
106,cbc4bd40cd1687754,e6088004caf0c8cc51,1
107,cbc4bd40cd1687754,5eff3a5bfc0687351e,8
108,cbc4bd40cd1687754,5b8754928306a18b68,5
109,cbc4bd40cd1687754,850badf89ed8f06854,9
110,cbc4bd40cd1687754,406539987dd9b679c0,2
111,cbc4bd40cd1687754,d63386c884aeb9f71d,4
112,cbc4bd40cd1687754,e0e0defbb9ec47f6f7,2
113,cbc4bd40cd1687754,cbc4bd40cd1687754,4
114,cbc4bd40cd1687754,2813e59cf6c1ff698e,5
115,cbc4bd40cd1687754,47be2887786891367e,8
116,cbc4bd40cd1687754,e22d2eabc2d4c19688,8
117,cbc4bd40cd1687754,32ded68d89443e808,2
